date,cno_price,cpo_price_lag1,cpo_price_lag2,cpo_price_lag3,cpo_price_lag4,usd_php_lag1,usd_php_lag2,usd_php_lag3,usd_php_lag4,oni_lag1,copra_farmgate_lag1,copra_farmgate_lag2,copra_farmgate_lag3,copra_farmgate_lag4,coconut_prod_lag1,coconut_prod_lag2,coconut_prod_lag3,coconut_prod_lag4,coconut_prod_lag5,coconut_prod_lag6,scfm,scfm_lag1,scfm_mean6,scfm_dev,target_next_cno_log_return,target_next_cno_direction
2014-04-01,892.61,809.25,808.0,810.8125,779.4375,44.812599999999996,44.70375,45.1275,44.338,-0.14,28.84,28.3,25.89,23.83,3253712.93,3253712.93,3253712.93,3926833.75,3926833.75,3926833.75,-161.10808923779882,-114.22160463350212,33.30906270578934,-194.41715194358815,0.09873551095646535,1
2014-05-01,985.24,807.5625,809.25,808.0,810.8125,44.4675,44.812599999999996,44.70375,45.1275,0.15,28.67,28.84,28.3,25.89,3353520.98,3253712.93,3253712.93,3253712.93,3926833.75,3926833.75,-130.7876838800587,-161.10808923779882,-29.10679355025214,-101.68089032980656,0.00041605569657800337,1
2014-06-01,985.65,783.5,807.5625,809.25,808.0,43.7125,44.4675,44.812599999999996,44.70375,0.31,28.68,28.67,28.84,28.3,3353520.98,3353520.98,3253712.93,3253712.93,3253712.93,3926833.75,-56.19687786810459,-130.7876838800587,-85.77801062237045,29.58113275426585,0.25700790180418354,1
2014-07-01,1274.5,754.4,783.5,807.5625,809.25,43.706,43.7125,44.4675,44.812599999999996,0.23,26.67,28.68,28.67,28.84,3353520.98,3353520.98,3353520.98,3253712.93,3253712.93,3253712.93,17.056824387193274,-56.19687786810459,-102.02437324951796,119.08119763671124,-0.003537044363533206,0
2014-08-01,1270.0,721.125,754.4,783.5,807.5625,43.5075,43.706,43.7125,44.4675,0.1,22.7,26.67,28.68,28.67,3864424.09,3353520.98,3353520.98,3353520.98,3253712.93,3253712.93,446.3267877550761,17.056824387193274,-88.90079616336088,535.227583918437,-0.0007167922672788892,0
2014-09-01,1269.09,648.75,721.125,754.4,783.5,43.7432,43.5075,43.706,43.7125,0.11,21.1,22.7,26.67,28.68,3864424.09,3864424.09,3353520.98,3353520.98,3353520.98,3253712.93,504.3481160028647,446.3267877550761,0.17822608713419186,504.1698899157305,0.07212145121804941,1
2014-10-01,1364.0,659.625,648.75,721.125,754.4,44.61125,43.7432,43.5075,43.706,0.28,21.29,21.1,22.7,26.67,3864424.09,3864424.09,3864424.09,3353520.98,3353520.98,3353520.98,511.57590224100875,504.3481160028647,103.27317952652866,408.30272271448007,0.018198500823285904,1
2014-11-01,1389.05,672.125,659.625,648.75,721.125,44.85125,44.61125,43.7432,43.5075,0.54,20.79,21.29,21.1,22.7,3896935.72,3864424.09,3864424.09,3864424.09,3353520.98,3353520.98,628.2345531061006,511.57590224100875,215.3871781063299,412.84737499977075,-0.02398500511511726,0
2014-12-01,1356.13,653.15,672.125,659.625,648.75,44.872,44.85125,44.61125,43.7432,0.71,21.54,20.79,21.29,21.1,3896935.72,3896935.72,3864424.09,3864424.09,3864424.09,3353520.98,627.0942995525897,628.2345531061006,341.8908842706898,285.20341528189994,0.041256961443824104,1
2015-01-01,1413.25,634.1875,653.15,672.125,659.625,44.71325,44.872,44.85125,44.61125,0.77,21.62,21.54,20.79,21.29,3896935.72,3896935.72,3896935.72,3864424.09,3864424.09,3864424.09,588.6290843327132,627.0942995525897,455.7727471741389,132.85633715857432,-0.014252869105754493,0
2015-02-01,1393.25,630.5,634.1875,653.15,672.125,44.455,44.71325,44.872,44.85125,0.69,21.17,21.62,21.54,20.79,3269446.56,3896935.72,3896935.72,3896935.72,3864424.09,3864424.09,657.3580957558294,588.6290843327132,551.0347904983922,106.32330525743714,-0.1043282914420207,0
2015-03-01,1255.22,644.25,630.5,634.1875,653.15,44.21375,44.455,44.71325,44.872,0.61,21.27,21.17,21.62,21.54,3269446.56,3269446.56,3896935.72,3896935.72,3896935.72,3864424.09,629.643548117842,657.3580957558294,586.2066751651844,43.43687295265761,-0.0553595515727232,0
2015-05-01,1187.62,591.125,599.5,644.25,630.5,44.42625,44.53,44.21375,44.455,0.81,20.81,20.57,21.27,21.17,3344517.93,3269446.56,3269446.56,3269446.56,3896935.72,3896935.72,511.70133633277555,629.643548117842,607.0892471843473,-95.38791085157175,0.004863451038116627,1
2015-06-01,1193.41,609.35,591.125,599.5,644.25,44.648,44.42625,44.53,44.21375,1.02,21.51,20.81,20.57,21.27,3344517.93,3344517.93,3269446.56,3269446.56,3269446.56,3896935.72,422.90809481147767,511.70133633277555,607.1101528663085,-184.2020580548308,-0.038183887321660066,0
2015-07-01,1148.7,604.4375,609.35,591.125,599.5,45.1175,44.648,44.42625,44.53,1.25,21.69,21.51,20.81,20.57,3344517.93,3344517.93,3344517.93,3269446.56,3269446.56,3269446.56,430.3231395008273,422.90809481147767,572.8890764838712,-142.5659369830439,0.03669124960448809,1
2015-08-01,1191.63,570.6875,604.4375,609.35,591.125,45.3915,45.1175,44.648,44.42625,1.57,21.56,21.69,21.51,20.81,3895848.75,3344517.93,3344517.93,3344517.93,3269446.56,3269446.56,394.7654038262182,430.3231395008273,540.0938831419109,-145.32847931569268,0.017065274753622697,1
2015-09-01,1212.14,490.2,570.6875,604.4375,609.35,46.4724,45.3915,45.1175,44.648,1.91,20.78,21.56,21.69,21.51,3895848.75,3895848.75,3344517.93,3344517.93,3344517.93,3269446.56,481.8726605011367,394.7654038262182,507.7832697241617,-25.910609223025006,-0.0563628603595978,0
2015-10-01,1145.71,515.125,490.2,570.6875,604.4375,46.6375,46.4724,45.3915,45.1175,2.21,21.24,20.78,21.56,21.69,3895848.75,3895848.75,3895848.75,3344517.93,3344517.93,3344517.93,489.2392074127964,481.8726605011367,478.5356971817129,10.703510231083499,0.012826414564620192,1
2015-11-01,1160.5,547.6875,515.125,490.2,570.6875,46.2575,46.6375,46.4724,45.3915,2.47,21.37,21.24,20.78,21.56,3891267.63,3895848.75,3895848.75,3895848.75,3344517.93,3344517.93,412.40978013003473,489.2392074127964,455.13497373087193,-42.7251936008372,-0.06204959179581237,0
2016-07-01,1104.09,545.9,547.6875,515.125,490.2,46.645,46.679,46.5025,46.3575,0.0,30.78,30.02,30.63,28.21,3105445.76,3105445.76,3105445.76,3118481.7,3118481.7,3118481.7,4.164919988361817,11.561352411284588,201.54076505538828,-197.37584506702646,-0.030363317464419212,0
2016-08-01,1071.07,580.25,545.9,547.6875,515.125,47.0104,46.645,46.679,46.5025,-0.31,30.68,30.78,30.02,30.63,3599155.36,3105445.76,3105445.76,3105445.76,3118481.7,3118481.7,68.18278163102832,4.164919988361817,144.18932134151683,-76.00653971048851,0.07110379356826038,1
2016-09-01,1150.0,622.5,580.25,545.9,547.6875,46.48175,47.0104,46.645,46.679,-0.5,31.17,30.68,30.78,30.02,3599155.36,3599155.36,3105445.76,3105445.76,3105445.76,3118481.7,6.648146773938606,68.18278163102832,103.13339523514901,-96.4852484612104,0.001737619898540878,1
2016-10-01,1152.0,632.4375,622.5,580.25,545.9,47.985,46.48175,47.0104,46.645,-0.58,31.65,31.17,30.68,30.78,3599155.36,3599155.36,3599155.36,3105445.76,3105445.76,3105445.76,103.04584269885936,6.648146773938606,50.96657416762736,52.079268531232,0.056473862458477575,1
2016-11-01,1218.93,641.7,632.4375,622.5,580.25,48.4194,47.985,46.48175,47.0104,-0.64,31.92,31.65,31.17,30.68,3662430.87,3599155.36,3599155.36,3599155.36,3105445.76,3105445.76,105.58747389131918,103.04584269885936,41.85472290548042,63.732750985838756,0.16700296664585243,1
2016-12-01,1440.48,668.6875,641.7,632.4375,622.5,49.507,48.4194,47.985,46.48175,-0.6,31.98,31.92,31.65,31.17,3662430.87,3662430.87,3599155.36,3599155.36,3599155.36,3105445.76,193.58197321783246,105.58747389131918,49.86508623246531,143.71688698536715,0.09304954079575976,1
2017-09-01,1553.41,698.8125,668.6875,641.7,632.4375,51.128,50.5456,49.9935,49.6135,-0.07,35.81,35.88,37.86,36.93,3741924.68,3741924.68,3122630.66,3122630.66,3122630.66,2987666.26,361.8255577908417,430.6375041866959,375.2310532565072,-13.405495465665524,0.10601434683565841,1
2017-10-01,1727.14,660.375,698.8125,668.6875,641.7,50.924499999999995,51.128,50.5456,49.9935,-0.34,35.54,35.81,35.88,37.86,3741924.68,3741924.68,3741924.68,3122630.66,3122630.66,3122630.66,445.6387226639747,361.8255577908417,367.32264449316443,78.31607817081027,0.051622107698652824,1
2017-11-01,1818.64,649.65,660.375,698.8125,668.6875,51.315200000000004,50.924499999999995,51.128,50.5456,-0.6,34.29,35.54,35.81,35.88,3834414.19,3741924.68,3741924.68,3741924.68,3122630.66,3122630.66,666.4684752164774,445.6387226639747,388.9755171392564,277.492958077221,-0.07439647953613952,0
2017-12-01,1688.25,652.375,649.65,660.375,698.8125,50.707750000000004,51.315200000000004,50.924499999999995,51.128,-0.77,34.94,34.29,35.54,35.81,3834414.19,3834414.19,3741924.68,3741924.68,3741924.68,3122630.66,724.9153235882591,666.4684752164774,435.16586233087554,289.74946125738353,-0.090359328022177,0
2018-01-01,1542.39,619.45,652.375,649.65,660.375,50.1132,50.707750000000004,51.315200000000004,50.924499999999995,-0.86,33.08,34.94,34.29,35.54,3834414.19,3834414.19,3834414.19,3741924.68,3741924.68,3741924.68,640.4634585710648,724.9153235882591,500.40409226793463,140.05936630313022,0.030224738645035783,1
2018-02-01,1589.72,637.4375,619.45,652.375,649.65,50.892,50.1132,50.707750000000004,51.315200000000004,-0.77,31.48,33.08,34.94,34.29,3216923.87,3834414.19,3834414.19,3834414.19,3741924.68,3741924.68,560.5411049230928,640.4634585710648,544.9915070028857,15.549597920207134,0.07835351481048101,1
2018-03-01,1719.29,637.8125,637.4375,619.45,652.375,51.897,50.892,50.1132,50.707750000000004,-0.71,27.69,31.48,33.08,34.94,3216923.87,3216923.87,3834414.19,3834414.19,3834414.19,3741924.68,742.804360321773,560.5411049230928,566.6421071256184,176.16225319615455,0.08389866547778128,1
2018-04-01,1869.76,620.125,637.8125,637.4375,619.45,52.0865,51.897,50.892,50.1132,-0.57,24.4,27.69,31.48,33.08,3216923.87,3216923.87,3216923.87,3834414.19,3834414.19,3834414.19,975.7161616703228,742.804360321773,630.1385742141069,345.57758745621584,-0.1286473705871278,0
